VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB0J,Island,Clinton,WA,98236,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10,476402678,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,53029972100
5YJ3E1ECXL,Arlington,Arlington,VA,22203,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,,4760486,POINT (-77.13581 38.86995),,51013101408
5YJ3E1EBXL,Snohomish,Brier,WA,98036,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,1,103288153,POINT (-122.281856 47.811678),PUGET SOUND ENERGY INC,53061051913
5UXTA6C00M,Island,Langley,WA,98260,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,10,132882725,POINT (-122.438132 48.029812),PUGET SOUND ENERGY INC,53029971900
WMEFJ9BA2J,Thurston,Olympia,WA,98503,2018,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,2,476387103,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011500
5UXKT0C39H,King,Seattle,WA,98109,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,36,127797393,POINT (-122.346385 47.630685),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000
WBY7Z2C52J,King,Seattle,WA,98126,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,34,138171659,POINT (-121.97745 47.53433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011500
WBY1Z6C53H,Thurston,Yelm,WA,98597,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,2,169680787,POINT (-122.558621 46.888349),PUGET SOUND ENERGY INC,53067012422
5YJ3E1EA1J,Skagit,Burlington,WA,98233,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,40,211534823,POINT (-122.342773 48.49381),PUGET SOUND ENERGY INC,53057951600
JN1AZ0CPXB,Snohomish,Everett,WA,98204,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,21,127427037,POINT (-122.255648 47.899424),PUGET SOUND ENERGY INC,53061041905
5UXTA6C0XN,Snohomish,Mill Creek,WA,98012,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,205884136,POINT (-122.201515 47.843376),PUGET SOUND ENERGY INC,53061052004
1N4AZ0CP6E,Snohomish,Bothell,WA,98012,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,21,208430575,POINT (-122.201515 47.843376),PUGET SOUND ENERGY INC,53061051927
5YJ3E1EB1J,Kitsap,Bremerton,WA,98312,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26,475527244,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035081000
1N4AZ1CV6N,Snohomish,Monroe,WA,98272,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39,183063072,POINT (-121.92791 47.853585),PUGET SOUND ENERGY INC,53061052203
5YJSA1E21K,Skagit,Anacortes,WA,98221,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,40,237757754,POINT (-122.628418 48.487079),PUGET SOUND ENERGY INC,53057940201
JTDKARFP3K,Walla Walla,Walla Walla,WA,99362,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,16,218044851,POINT (-118.342366 46.081666),PACIFICORP,53071920200
WBY1Z8C55H,Kitsap,Suquamish,WA,98392,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,23,348140327,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,53035940100
5YJ3E1EB2K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,478429570,POINT (-120.646044 46.609142),PACIFICORP,53077000903
3C3CFFGE4E,Yakima,Yakima,WA,98902,2014,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,14,1593721,POINT (-120.532719 46.59458),PACIFICORP,53077000700
5YJXCDE21K,Snohomish,Marysville,WA,98271,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,38,254402249,POINT (-122.19388 48.15353),,53061940001
1N4BZ0CP1H,King,Redmond,WA,98052,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,48,341095296,POINT (-122.122018 47.678465),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032325
WBA5P9C02M,Snohomish,Everett,WA,98203,2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,38,195224977,POINT (-122.227707 47.943014),PUGET SOUND ENERGY INC,53061040900
2C4RC1L78L,Snohomish,Marysville,WA,98270,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,38,128796790,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052805
1G1RB6E4XF,Grant,Moses Lake,WA,98837,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,13,136095774,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025010200
WVWPP7AU4G,Snohomish,Everett,WA,98208,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,44,133564140,POINT (-122.19615 47.894423),PUGET SOUND ENERGY INC,53061041606
3FA6P0PU8D,Snohomish,Lynnwood,WA,98087,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,21,162455177,POINT (-122.266367 47.863478),PUGET SOUND ENERGY INC,53061041901
KNDCC3LG3K,Snohomish,Everett,WA,98208,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,44,316835739,POINT (-122.19615 47.894423),PUGET SOUND ENERGY INC,53061041609
5YJ3E1EA5J,Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,151431759,POINT (-122.19615 47.894423),PUGET SOUND ENERGY INC,53061052114
KNDC3DLC5N,Yakima,Yakima,WA,98902,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,194088905,POINT (-120.532719 46.59458),PACIFICORP,53077001000
1N4AZ0CP6G,Snohomish,Mill Creek,WA,98012,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44,259569481,POINT (-122.201515 47.843376),PUGET SOUND ENERGY INC,53061052005
JTDKARFP4J,Yakima,Selah,WA,98942,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,475507497,POINT (-120.53113 46.65404),PACIFICORP,53077003400
5YJ3E1EB9J,Yakima,Yakima,WA,98902,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,15,319380631,POINT (-120.532719 46.59458),PACIFICORP,53077001100
YV4BR0DL6N,Whitman,Pullman,WA,99163,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,9,209541930,POINT (-117.191532 46.734481),AVISTA CORP,53075000300
YV4BR0DM4N,Kitsap,Port Orchard,WA,98367,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,26,190246255,POINT (-122.658901 47.466778),PUGET SOUND ENERGY INC,53035092902
JTMAB3FV2M,Kitsap,Port Orchard,WA,98367,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,26,170362265,POINT (-122.658901 47.466778),PUGET SOUND ENERGY INC,53035092101
5YJ3E1EA2J,Snohomish,Edmonds,WA,98026,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,110300879,POINT (-122.333046 47.829439),PUGET SOUND ENERGY INC,53061050200
1N4BZ0CPXG,Snohomish,Bothell,WA,98012,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44,193206933,POINT (-122.201515 47.843376),PUGET SOUND ENERGY INC,53061052007
KNDJP3AE5G,Kitsap,Bainbridge Island,WA,98110,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,23,304645596,POINT (-122.534497 47.643688),PUGET SOUND ENERGY INC,53035090700
5YJ3E1EC1L,King,Kenmore,WA,98028,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,46,1966030,POINT (-122.246193 47.755504),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022101
5YJXCDE26L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,1,104217144,POINT (-122.212105 47.792368),PUGET SOUND ENERGY INC,53061051938
KM8S7DA21N,Snohomish,Stanwood,WA,98292,2022,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,0,10,207094359,POINT (-122.308752 48.21817),PUGET SOUND ENERGY INC,53061053202
JTDKARFP3L,Spokane,Spokane,WA,99202,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,3,182430937,POINT (-117.379793 47.656684),MODERN ELECTRIC WATER COMPANY,53063003000
5YJ3E1EA4K,Sarasota,Sarasota,FL,34242,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,,300293815,POINT (-82.559 27.27335),,12115001903
JTDKARFP1H,Chesapeake,Chesapeake,VA,23321,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,,330798968,POINT (-76.416537 36.818186),,51550021505
1N4AZ0CP1D,King,Seattle,WA,98115,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,46,185643545,POINT (-122.297534 47.685291),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000
7SAYGAEE1N,King,Seattle,WA,98122,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,37,218324613,POINT (-122.303413 47.61065),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008700
JTDKN3DPXC,Spokane,Spokane,WA,99207,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,3,252446736,POINT (-117.3973 47.67573),MODERN ELECTRIC WATER COMPANY,53063001500
4JGDA6DB6H,Snohomish,Woodway,WA,98020,2017,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10,0,32,111165708,POINT (-122.370709 47.801416),PUGET SOUND ENERGY INC,53061050600
WP1AE2A2XG,King,Mercer Island,WA,98040,2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,41,263915683,POINT (-122.227947 47.565443),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024500
5YJSA1CG3D,Snohomish,Edmonds,WA,98026,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,109068662,POINT (-122.333046 47.829439),PUGET SOUND ENERGY INC,53061050200
1N4AZ1CV0N,King,Tukwila,WA,98168,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,11,202094315,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026200
2C4RC1L79M,Island,Camano Island,WA,98282,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,10,142077407,POINT (-122.473127 48.184535),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53029971500
5YJSA1E55N,Clark,Brush Prairie,WA,98606,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,17,192251552,POINT (-122.469864 45.732426),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040715
5YJ3E1EB6L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,1,6119375,POINT (-122.212105 47.792368),PUGET SOUND ENERGY INC,53061051926
1G1FZ6S06K,Pacific,Ilwaco,WA,98624,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,19,230771852,POINT (-124.03547 46.3088),BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,53049950502
5YJ3E1EA9J,King,Kirkland,WA,98033,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,182402251,POINT (-122.188994 47.678406),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502
5YJSA1S28F,King,Bellevue,WA,98008,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,48,475315291,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023202
5YJYGDEE2L,King,Seattle,WA,98136,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,34,112909065,POINT (-122.388955 47.537382),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010602
5YJSA1E27J,Kitsap,Bainbridge Island,WA,98110,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,23,118077718,POINT (-122.534497 47.643688),PUGET SOUND ENERGY INC,53035090902
YV4BC0PL3G,Snohomish,Bothell,WA,98021,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,1,261831013,POINT (-122.212105 47.792368),PUGET SOUND ENERGY INC,53061051917
1N4AZ0CP5D,Kitsap,Port Orchard,WA,98367,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,26,147831526,POINT (-122.658901 47.466778),PUGET SOUND ENERGY INC,53035092701
7SAXCAE53N,King,Sammamish,WA,98074,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,219298383,POINT (-122.042724 47.623594),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215
1G1RD6E44E,King,Tukwila,WA,98168,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,11,123989582,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027300
1G1FX6S04H,King,Shoreline,WA,98133,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,32,279429,POINT (-122.343983 47.739969),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700
3C3CFFGEXJ,King,Seattle,WA,98107,2018,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,36,195247027,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003301
1G1RA6E43E,King,Redmond,WA,98052,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,45,255873250,POINT (-122.122018 47.678465),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321
7SAYGDEE1N,Clark,Camas,WA,98607,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,18,206969808,POINT (-122.408498 45.620943),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040608
YV4BR0DLXM,Snohomish,Snohomish,WA,98296,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,1,141955467,POINT (-122.10812 47.838517),PUGET SOUND ENERGY INC,53061052114
1N4BZ0CP2H,King,Seattle,WA,98125,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,46,224659466,POINT (-122.3026 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102
5YJSA1H22F,King,Seattle,WA,98112,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,43,167220028,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
5YJ3E1EA1L,King,Bellevue,WA,98004,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,48,6129931,POINT (-122.203169 47.619011),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023805
5YJSA1CN1D,King,Snoqualmie,WA,98065,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5,132994130,POINT (-121.819086 47.539931),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032605
5YJ3E1EB8K,Snohomish,Snohomish,WA,98296,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44,476793628,POINT (-122.10812 47.838517),PUGET SOUND ENERGY INC,53061052121
5YJ3E1EA1J,King,Duvall,WA,98019,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,9257209,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
5YJYGDEE3M,King,Bellevue,WA,98004,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,185224581,POINT (-122.203169 47.619011),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001
YV4H600Z3N,King,Seattle,WA,98115,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,43,209469480,POINT (-122.297534 47.685291),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002500
1G1FZ6S08M,King,Seattle,WA,98103,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,148436690,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003500
7FCTGAAL9N,King,Seattle,WA,98116,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34,208414475,POINT (-122.394511 47.574001),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009702
5YJ3E1EB6J,Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,475060603,POINT (-122.302507 47.911921),PUGET SOUND ENERGY INC,53061042005
3FMTK3SU5M,Snohomish,Lynnwood,WA,98037,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,185726824,POINT (-122.287614 47.83874),PUGET SOUND ENERGY INC,53061051601
1N4BZ0CP8H,Snohomish,Everett,WA,98208,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,44,126012260,POINT (-122.19615 47.894423),PUGET SOUND ENERGY INC,53061041609
5YJSA1H49F,Jefferson,Port Townsend,WA,98368,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,24,125807356,POINT (-122.818016 48.080229),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950502
WA1F2AFY1N,Whatcom,Bellingham,WA,98229,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,40,197710376,POINT (-122.414936 48.709388),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000805
WBY7Z4C52J,King,Seattle,WA,98112,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,43,139666705,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
WMW13DJ07P,King,Woodinville,WA,98072,2023,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,209898503,POINT (-122.132064 47.759381),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032307
5YJ3E1EB9L,King,Seattle,WA,98144,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,37,2081523,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008900
5YJ3E1EA5M,King,Sammamish,WA,98074,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,175732532,POINT (-122.042724 47.623594),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316
2C4RC1N7XJ,King,Seattle,WA,98177,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,36,294509015,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600
7SAYGAEE0N,King,Seattle,WA,98117,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,185574546,POINT (-122.379354 47.687571),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003100
3FMTK3SU4M,King,Auburn,WA,98092,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,31,144250802,POINT (-122.17663 47.32326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031202
1G1RC6S50J,Thurston,Olympia,WA,98503,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,2,477167939,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011500
1G1FX6S03J,Snohomish,Lake Stevens,WA,98258,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44,333426614,POINT (-122.085999 48.016305),PUGET SOUND ENERGY INC,53061052607
1G1FY6S02K,King,Seattle,WA,98118,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,37,114492465,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011700
WAUFJBFW4N,King,Bellevue,WA,98004,2022,AUDI,E-TRON GT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,198395753,POINT (-122.203169 47.619011),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001
5YJ3E1EB9N,King,Redmond,WA,98052,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,183318054,POINT (-122.122018 47.678465),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022902
